trayecto,%utilizacion,kms_trayecto,tiempo_ciclo
FASE 6 / BOT-NIEVE INF5-NORTE,0.217516768192919,17.0955582010582,64.91984126984127
FASE 6 / BOT-NIEVE3535/N,0.09981488955019441,13.00778888888889,49.39666666666668
POINT-3505-346 / PRIMARY-PLANT,0.1482981632672795,44.18205394524961,167.7799516908213
POINT-3505-346 / PRIMARY-PLANT-DOS,0.1001892618332678,24.54352943969611,93.20327635327638
POINT-3505-346 / STD-DON-AL,0.1274868265530341,18.09741452991453,68.72435897435898
POINT-3505-346 / STD-DON-AL46,0.2278968054747295,45.26637301587301,171.897619047619
POINT-3505-347 / PRIMARY-PLANT,0.2451382606428512,27.55860307692307,104.652923076923
POINT-3505-347 / PRIMARY-PLANT-DOS,0.09984885692077629,37.28854077380952,141.6020535714286
POINT-3505-347 / STD-DON-ML,0.100115871839987,36.88751388888889,140.0791666666667
POINT-3505-347 / STD-DON-AL,0.1153641388007937,21.33228716744914,81.0086854460094
POINT-3505-347 / STD-DON-AL46,0.09995551038154309,11.98254444444444,45.50333333333333
POINT-3505-348 / PRIMARY-PLANT,0.2455767063847223,35.48177802359884,134.7409292035399
POINT-3505-348 / PRIMARY-PLANT-DOS,0.1799126454256652,26.83292415782617,101.8971803461753
POINT-3505-348 / STD-DON-ML,0.168649516397397,31.34684380032207,119.0386473429952
POINT-3505-348 / STD-DON-AL,0.2026057328715186,30.8040262345679,116.9773148148148
POINT-3505-349 / PRIMARY-PLANT,0.1108441836425893,33.8961327683616,128.7194915254238
POINT-3505-349 / PRIMARY-PLANT-DOS,0.1482848952976537,32.91642442279943,124.9990800865801
POINT-3505-349 / STD-DON-ML,0.1895844024834999,25.23629147640793,95.83401826484022
POINT-3505-349 / STD-DON-AL,0.1839528820001845,21.93734477124184,83.30637254901963
POINT-3505-350 / PRIMARY-PLANT-DOS,0.1005972365220505,27.75439285714286,105.3964285714286
POINT-3505-350 / STD-DON-ML,0.1000106752333984,23.69608134920636,89.98511904761908
POINT-3505-999 / PRIMARY-PLANT,0.1746296054454225,35.1272365792759,133.3945692883895
POINT-3505-999 / PRIMARY-PLANT-DOS,0.159888587927982,25.80381981981982,97.98918918918918
